schema,table_name,kind,row_estimate,total_size,has_pk,rls_enabled,rls_forced,comment
public,ref_classification_equivalent_group,BASE TABLE,176,96 kB,t,f,f,
public,ref_classification_scheme,BASE TABLE,-1,48 kB,t,t,f,
public,ref_classification_value,BASE TABLE,81,88 kB,t,t,f,
public,ref_code,PARTITIONED,-1,0 bytes,t,t,f,
public,ref_code_accommodation_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_activity_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_allergen,BASE TABLE,14,96 kB,t,t,f,
public,ref_code_amenity_family,BASE TABLE,21,96 kB,t,t,f,
public,ref_code_amenity_type,BASE TABLE,-1,48 kB,t,t,f,
public,ref_code_assistance_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_booking_status,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_client_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_contact_kind,BASE TABLE,14,96 kB,t,t,f,
public,ref_code_cuisine_type,BASE TABLE,29,128 kB,t,t,f,
public,ref_code_demand_subtopic,BASE TABLE,-1,128 kB,t,t,f,
public,ref_code_demand_topic,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_destination_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_dietary_tag,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_document_type,BASE TABLE,-1,48 kB,t,t,f,
public,ref_code_domain_registry,BASE TABLE,-1,32 kB,t,t,f,
public,ref_code_environment_tag,BASE TABLE,30,128 kB,t,t,f,
public,ref_code_event_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_feedback_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_incident_category,BASE TABLE,-1,48 kB,t,t,f,
public,ref_code_insurance_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_iti_practice,BASE TABLE,16,96 kB,t,t,f,
public,ref_code_language_level,BASE TABLE,7,96 kB,t,t,f,
public,ref_code_media_tag,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_media_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_meeting_equipment,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_membership_campaign,BASE TABLE,-1,48 kB,t,t,f,
public,ref_code_membership_tier,BASE TABLE,-1,48 kB,t,t,f,
public,ref_code_menu_category,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_mood,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_opening_schedule_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_other,BASE TABLE,163,208 kB,t,t,f,
public,ref_code_package_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_partnership_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_payment_method,BASE TABLE,15,96 kB,t,t,f,
public,ref_code_price_kind,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_price_unit,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_promotion_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_room_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_season_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_service_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_social_network,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_taxonomy_closure,BASE TABLE,356,1400 kB,t,t,f,
public,ref_code_tourism_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_transport_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_view_type,BASE TABLE,-1,96 kB,t,t,f,
public,ref_code_weekday,BASE TABLE,7,96 kB,t,t,f,
public,ref_contact_role,BASE TABLE,-1,48 kB,t,t,f,
public,ref_document,BASE TABLE,-1,24 kB,t,t,f,
public,ref_iti_assoc_role,BASE TABLE,-1,24 kB,t,t,f,
public,ref_language,BASE TABLE,-1,64 kB,t,t,f,
public,ref_legal_type,BASE TABLE,-1,48 kB,t,t,f,Reference table for legal record types. Defines what types of legal documents can be stored for objects.
public,ref_object_relation_type,BASE TABLE,-1,48 kB,t,t,f,
public,ref_org_admin_role,BASE TABLE,-1,48 kB,t,t,f,
public,ref_org_business_role,BASE TABLE,-1,48 kB,t,t,f,
public,ref_org_role,BASE TABLE,-1,48 kB,t,t,f,
public,ref_permission,BASE TABLE,-1,48 kB,t,t,f,
public,ref_review_source,BASE TABLE,-1,48 kB,t,t,f,
public,ref_sustainability_action,BASE TABLE,239,392 kB,t,t,f,
public,ref_sustainability_action_category,BASE TABLE,9,88 kB,t,t,f,
public,ref_sustainability_action_group,BASE TABLE,76,176 kB,t,f,f,
public,ref_tag,BASE TABLE,-1,96 kB,t,t,f,
public,tag_link,BASE TABLE,4539,3040 kB,t,t,f,
public,user_org_admin_role,BASE TABLE,-1,56 kB,t,t,f,
public,user_org_business_role,BASE TABLE,-1,56 kB,t,t,f,
public,user_org_membership,BASE TABLE,-1,80 kB,t,t,f,
public,user_permission,BASE TABLE,-1,24 kB,t,t,f,
staging,actor_channel_temp,BASE TABLE,1353,1208 kB,t,f,f,
staging,actor_consent_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,actor_object_role_temp,BASE TABLE,789,736 kB,t,f,f,
staging,actor_temp,BASE TABLE,686,840 kB,t,f,f,
staging,audit_audit_log_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,audit_criteria_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,audit_result_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,audit_session_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,audit_template_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,batch_commit_ledger,BASE TABLE,-1,24 kB,t,f,f,
staging,batch_commit_ledger_item,BASE TABLE,-1,32 kB,t,f,f,
staging,contact_channel_temp,BASE TABLE,1901,4968 kB,t,f,f,
staging,crm_comment_temp,BASE TABLE,1766,3800 kB,t,f,f,
staging,crm_interaction_temp,BASE TABLE,1459,9000 kB,t,f,f,
staging,crm_task_temp,BASE TABLE,-1,16 kB,t,f,f,
staging,i18n_translation_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,import_batches,BASE TABLE,11,248 kB,t,f,f,
staging,import_creation_policy,BASE TABLE,-1,32 kB,t,f,f,
staging,import_events,BASE TABLE,170,128 kB,t,f,f,
staging,incident_report_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,mapping_contract,BASE TABLE,-1,96 kB,t,f,f,
staging,mapping_contract_field,BASE TABLE,1449,1480 kB,t,f,f,
staging,mapping_contract_sheet,BASE TABLE,84,448 kB,t,f,f,
staging,mapping_relation_hypothesis,BASE TABLE,123,104 kB,t,f,f,
staging,mapping_review_decision,BASE TABLE,-1,16 kB,t,f,f,
staging,media_galerie_lot1_temp,BASE TABLE,4078,11 MB,t,f,f,
staging,media_tag_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,media_temp,BASE TABLE,-1,48 kB,t,f,f,
staging,meeting_room_equipment_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_amenity_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_capacity_temp,BASE TABLE,650,1688 kB,t,f,f,
staging,object_classification_temp,BASE TABLE,-1,24 kB,t,f,f,
staging,object_description_temp,BASE TABLE,765,2600 kB,t,f,f,
staging,object_discount_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_environment_tag_temp,BASE TABLE,-1,24 kB,t,f,f,
staging,object_external_id_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_fma_occurrence_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_fma_temp,BASE TABLE,-1,24 kB,t,f,f,
staging,object_group_policy_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_iti_associated_object_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_iti_info_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_iti_practice_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_iti_profile_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_iti_section_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_iti_stage_media_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_iti_stage_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_iti_temp,BASE TABLE,-1,24 kB,t,f,f,
staging,object_language_temp,BASE TABLE,1411,3704 kB,t,f,f,
staging,object_legal_temp,BASE TABLE,-1,16 kB,t,f,f,
staging,object_location_temp,BASE TABLE,784,2312 kB,t,f,f,
staging,object_meeting_room_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_membership_temp,BASE TABLE,-1,16 kB,t,f,f,
staging,object_menu_item_allergen_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_menu_item_cuisine_type_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_menu_item_dietary_tag_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_menu_item_media_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_menu_item_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_menu_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_org_link_temp,BASE TABLE,-1,40 kB,t,f,f,
staging,object_origin_temp,BASE TABLE,784,2088 kB,t,f,f,
staging,object_payment_method_temp,BASE TABLE,1604,4192 kB,t,f,f,
staging,object_pet_policy_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_place_description_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_place_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_price_period_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_price_temp,BASE TABLE,-1,16 kB,t,f,f,
staging,object_private_description_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_relation_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_review_temp,BASE TABLE,-1,16 kB,t,f,f,
staging,object_room_type_amenity_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_room_type_media_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_room_type_temp,BASE TABLE,-1,16 kB,t,f,f,
staging,object_sustainability_action_label_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_sustainability_action_temp,BASE TABLE,57,112 kB,t,f,f,
staging,object_temp,BASE TABLE,837,3520 kB,t,f,f,
staging,object_version_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,object_zone_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,opening_period_temp,BASE TABLE,257,176 kB,t,f,f,
staging,opening_schedule_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,opening_time_frame_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,opening_time_period_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,opening_time_period_weekday_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,org_temp,BASE TABLE,-1,24 kB,t,f,f,
staging,pending_change_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,promotion_object_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,promotion_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,promotion_usage_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,publication_object_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,publication_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_actor_role_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_amenity_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_capacity_applicability_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_capacity_metric_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_classification_scheme_temp,BASE TABLE,-1,24 kB,t,f,f,
staging,ref_classification_value_temp,BASE TABLE,-1,24 kB,t,f,f,
staging,ref_code_temp,BASE TABLE,-1,24 kB,t,f,f,
staging,ref_contact_role_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_document_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_iti_assoc_role_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_language_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_legal_type_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_object_relation_type_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_org_role_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_review_source_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_sustainability_action_category_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_sustainability_action_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,ref_tag_temp,BASE TABLE,-1,32 kB,t,f,f,
staging,tag_link_temp,BASE TABLE,-1,32 kB,t,f,f,
